 * Serving Flask app 'node0'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://localhost:8000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 256-579-823
127.0.0.1 - - [01/Oct/2024 10:19:49] "POST /server/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:50] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:51] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:53] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:54] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:55] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:55] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/tasks/ HTTP/1.1" 200 -
Error on request:
Traceback (most recent call last):
  File "/Users/amirrezasokhankhosh/mambaforge/envs/flask/lib/python3.12/site-packages/werkzeug/serving.py", line 363, in run_wsgi
    execute(self.server.app)
  File "/Users/amirrezasokhankhosh/mambaforge/envs/flask/lib/python3.12/site-packages/werkzeug/serving.py", line 327, in execute
    write(data)
  File "/Users/amirrezasokhankhosh/mambaforge/envs/flask/lib/python3.12/site-packages/werkzeug/serving.py", line 302, in write
    self.wfile.write(data)
  File "/Users/amirrezasokhankhosh/mambaforge/envs/flask/lib/python3.12/socketserver.py", line 840, in write
    self._sock.sendall(b)
OSError: [Errno 55] No buffer space available
127.0.0.1 - - [01/Oct/2024 10:19:57] "[31m[1mPOST /server/train/ HTTP/1.1[0m" 400 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:58] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:19:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:01] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:01] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:01] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:02] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:02] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:02] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:02] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:03] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:05] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:05] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:06] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:06] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:07] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:10] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:11] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:11] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:11] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:13] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:15] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:15] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:17] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:17] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2024 10:20:18] "POST /server/tasks/ HTTP/1.1" 200 -
